Name, Latitude, Longitude
Beinn nan Eachan,56.515592,-4.325294
Aonach Eagach,56.566892,-4.873459
Fafernie,56.925451,-3.291058
Caher,51.994453,-9.758551
Druim na Ciche,57.12662,-5.220642
Beinn an Dothaidh West Top,56.530717,-4.722057
Sgurr an Iubhair,56.745024,-5.001888
Stob Ban,56.743706,-5.030328
Creag nan Clachan Geala,57.25808,-5.247325
Sgurr Breac,57.691943,-5.09131
Sgurr Choinnich,57.451026,-5.207916
Stob Daimh,56.431336,-5.091319
Sail Chaorainn,57.191622,-5.091199
A' Chailleach,57.693773,-5.128713
Drochaid an Tuill Easaich,57.173175,-5.110194
Beinn Challuim South Top,56.448661,-4.619556
Broad Cairn,56.919148,-3.249082
Ben More Assynt,58.138164,-4.858208
Carn na Coire Mheadhoin,57.195608,-5.089561
Glas Bheinn Mhor,56.542434,-5.005252
Meall Dubhag,57.037409,-3.846555
Creag a' Chaorainn,57.171383,-5.083038
Spidean Mialach,57.088964,-5.193614
An Caisteal,56.338618,-4.62437
Stob a' Ghlais Choire,56.623293,-4.870409
Mullach Cadha Rainich,57.274123,-5.087362
Glyder Fach,53.104815,-4.008407
Sgurr na h-Ulaidh,56.619796,-5.08006
Carn an Fhidhleir,56.936029,-3.801535
An Cearcallach,56.932752,-4.594034
Sron Coire a' Chriochairein,56.974374,-4.555079
Carn nam Fiaclan,57.460882,-5.129638
Sgurr na Ruaidhe,57.441497,-4.852465
Beinn Eighe - Spidean Coire nan Clach,57.582098,-5.403706
Carn nan Gobhar,57.363304,-5.024544
Carn nan Gobhar,57.452331,-4.879935
Sgurr Alasdair,57.206589,-6.224143
Sgairneach Mhor,56.828447,-4.297792
Cairn of Gowal,56.923598,-3.271969
Sron a' Ghearrain,56.569067,-4.89707
Stob Choire a' Mhail,56.749326,-5.005389
Sgurr nan Spainteach,57.18177,-5.324911
Beinn Eunaich,56.450352,-5.026639
Sgurr Ban,57.718538,-5.265903
Mam Sodhail East Top,57.276024,-5.095586
Creag Leacach,56.85464,-3.387768
Gulvain,56.936211,-5.284527
Sgurr an Fhuarail,57.175256,-5.220076
Lurg Mhor,57.413091,-5.223666
Conival,58.135689,-4.883497
Stob Coire an Fhir Dhuibh,56.81936,-4.936944
Mam nan Carn,56.883272,-3.562257
Beinn Alligin - Sgurr Mor,57.590829,-5.572765
Sgurr Dearg - Inaccessible Pinnacle,57.213261,-6.234818
Ben Vorlich,56.34268,-4.219464
Druim Shionnach,57.126794,-5.182841
Cnoc na Peiste,51.997929,-9.695609
Leth-chreag,57.023644,-3.777616
Stob a' Choire Liath Mhor,57.56555,-5.457883
Creag an Dubh-loch,56.925775,-3.262004
Cairn of Gowal South Top,56.919846,-3.269903
Sgurr an Lochan Uaine,57.072656,-3.608875
Mullach na Dheiragain,57.283399,-5.18635
Stob Garbh,56.425894,-5.089628
An Gearanach,56.759172,-4.96623
Stob Coire a' Chairn,56.750756,-4.968985
Ciste Dhubh,57.199234,-5.209032
Meall na Aighean,56.620627,-4.128741
Slioch,57.667148,-5.347061
An Cearcallach North Top,56.936219,-4.592845
Maol Chinn-dearg,57.12756,-5.252651
Beinn a' Chochuill,56.44979,-5.068552
Meikle Pap,56.959824,-3.218638
Sail Mhor,57.588065,-5.451133
Slioch - Trig Point,57.665378,-5.346361
Glas Mheall Mor,57.816476,-5.240434
Stob Coire Sgriodain,56.831744,-4.694934
Beinn Dubhchraig,56.391295,-4.743193
Scafell Pike,54.454263,-3.211682
Cona' Mheall,57.791077,-4.903418
Sgurr Dearg - Cairn,57.213475,-6.235157
Pen yr Ole Wen,53.137656,-4.010641
Mullach Coire Mhic Fhearchair East Top,57.708128,-5.264225
Meall Buidhe,56.557806,-4.670341
Sgurr Thearlaich,57.206621,-6.22292
Stob Ban,56.810656,-4.840877
Spidean Mialach West Top,57.089877,-5.199769
Meall nan Ceapraichean,57.798514,-4.934012
Carn a' Gheoidh,56.873065,-3.466616
Sron nan Giubhas,56.574154,-4.882022
Meall Garbh,56.817718,-4.669278
Coinneach Mhor,57.583242,-5.440098
Beinn a' Ghlo - Carn Liath,56.80777,-3.74409
The Saddle West Top,57.159603,-5.426039
Foel Grach,53.174077,-3.963234
Meall Garbh (old GR),56.820307,-4.670528
Meall Buidhe,57.079152,-3.830199
An Garbhanach,56.755396,-4.965146
Meall nam Peithirean,57.692,-5.00919
Diollaid Coire Eindart,57.012871,-3.806468
Mullach an Rathain East Top,57.560373,-5.485609
Meall na Aighean West Top,56.618654,-4.135313
Beinn Sgritheall,57.153815,-5.579727
Mullach Sithidh,57.287966,-5.183856
Meall Mor,57.414531,-5.211633
Ben More Assynt West Top,58.137939,-4.863016
Ben Lomond,56.190302,-4.63301
Douglas Boulder,56.801576,-5.003575
Caher West Top,51.995419,-9.76252
Beinn a' Chlachair East Top,56.877752,-4.484794
A' Mharconaich,56.857002,-4.290668
Stuc a' Chroin,56.329315,-4.237533
Meall Coire na Saobhaidhe,56.970643,-3.247597
Sgurr a' Ghreadaidh,57.227313,-6.234425
Little Glas Maol,56.867686,-3.353423
Creag an Dail Mhor,57.066828,-3.433299
Castell y Gwynt,53.103818,-4.012035
Creag a' Chaorainn,57.357844,-5.047062
Bynack Beg,57.142306,-3.594097
Meall an t-Snaim,56.979672,-4.537173
Sgurr Ban,57.584628,-5.389867
Sgurr a' Ghreadaidh South Top,57.225897,-6.234013
Bruach nan Iomairean,56.853237,-4.295047
Sgurr nan Ceathreamhnan East Top,57.252368,-5.20969
Maolan Bui,51.994607,-9.701002
Garbh Chioch Bheag,57.007182,-5.430222
Ceann Garbh,57.803256,-4.930659
Aonach Eagach - Sgorr nam Fiannaidh,56.679387,-5.037143
Meall Garbh,56.637381,-4.207472
Carn na Con Dhu,57.267575,-5.197807
A' Mhaighdean,57.719653,-5.346721
Sron an Isean,56.43409,-5.084323
Sgurr nan Gillean,57.248215,-6.193159
Meall na Dige,56.370148,-4.510273
A' Bhuidheanach,56.983012,-4.501204
Ben More,56.424829,-6.013999
Stob an Fhuarain,56.62477,-5.069002
Sgurr na Banachdich,57.220972,-6.241638
Sgurr na Forcan,57.161927,-5.407812
Scafell,54.447498,-3.224731
Meall Garbh East Top,56.636046,-4.202176
Carn a' Chlamain,56.860965,-3.779634
Sgurr a' Bhuic,56.788301,-4.941721
Sgurr Choinnich Beag,56.796725,-4.915991
Sgairneach Mhor (old GR),56.824992,-4.303874
Sgurr Thuilm,56.937056,-5.389207
Sgurr nan Fhir Duibhe,57.584945,-5.37803
Stob a' Choire Bhig,57.350372,-5.064184
Ben Klibreck - Meall nan Con,58.235202,-4.41113
Druim Mor,56.87945,-3.331301
Sgurr a' Dubh Doire,57.215323,-5.25619
Yr Elen,53.166601,-3.985215
Carn na Criche,57.706274,-5.02908
Gulvain South Top,56.925901,-5.293369
Sgorr Ruadh,57.498622,-5.407747
Glas Mheall Liath,57.805106,-5.236871
Stuc an Lochain,56.570907,-4.470602
Stob a' Choire Odhair,57.078494,-5.581904
Ben More Assynt South Top,58.130657,-4.847906
Beinn a' Chreachain North Top,56.56807,-4.641321
Meall Glas,56.455711,-4.546837
Symonds Knott,54.450013,-3.223155
Beinn Fhionnlaidh,56.600978,-5.104749
Beinn nan Aighenan,56.520349,-5.011178
The Saddle East Top,57.161694,-5.410735
Bruach na Frithe,57.246761,-6.210795
Stob Cadha Gobhlach,57.791162,-5.250702
Buachaille Etive Beag - Stob Dubh,56.638159,-4.970747
Stob Coire Gaibhre,56.84023,-4.852564
Stob Coire Sgriodain South Top,56.827369,-4.69026
Tolmount,56.904724,-3.297946
Tom Buidhe,56.893624,-3.292357
Stob Garbh,56.364821,-4.573705
Creag Leachdach,56.919186,-3.299105
Stob nan Clach,56.481049,-4.620586
Na Cnamha,52.001734,-9.747041
Sgurr nan Coireachan,56.935728,-5.448551
Carn Ghluasaid,57.165959,-5.068159
Sron Coire na h-Iolaire,56.801611,-4.436623
Little Pap,56.945323,-3.210356
Saileag,57.181264,-5.281331
Sgor Eilde Beag,56.745222,-4.912914
Sgor Gaibhre,56.772553,-4.546498
Meall Dearg,57.563242,-5.489463
Meall an Fhuarain Mhoir,57.223467,-5.314546
Cnoc an Chuillinn,51.990138,-9.713484
Beinn Liath Mhor Fannaich,57.706095,-4.989775
Druim Sgarsoch,56.931993,-3.734271
Coinneach Mhor (1974 position),57.584247,-5.430602
Tom a' Choinnich,57.693768,-4.579282
Sgurr nan Coireachan,57.007158,-5.40544
Buachaille Etive Mor - Stob na Broige,56.629879,-4.951162
Mullach Clach a' Bhlair North Top,57.027858,-3.828203
Beinn Iutharn Bheag,56.894001,-3.536076
Am Faochagach,57.771801,-4.853882
Beinn Mhanach,56.534032,-4.646042
Sail Liath,57.790426,-5.245738
Aonach Eagach - Meall Dearg,56.68074,-5.003235
Beinn Fhada,56.64202,-5.002732
Carn a' Chlamain North Top,56.863877,-3.783349
Brandon Mountain,52.23513,-10.254318
Beinn nan Eachan East Top,56.515861,-4.319052
Toll Creagach West Top,57.301979,-5.026728
Meall Chuaich,56.96385,-4.112568
Helvellyn,54.527001,-3.017514
Meall Gorm,57.680837,-4.983801
Stuc a' Chroin North Top,56.333503,-4.236517
Beinn Sheasgarnaich North Top,56.517801,-4.566772
The Saddle North Top,57.164987,-5.415186
Beinn Bhuidhe,56.326686,-4.906709
Sgurr Mhic Choinnich,57.208937,-6.224113
Sgurr a' Mhaoraich Beag,57.107009,-5.341649
Sgurr Sgumain,57.205525,-6.226623
Driesh,56.848003,-3.196539
Carn nan Gabhar North Top,56.85127,-3.683699
Creag Dubh,57.370416,-4.995484
Y Garn,53.115691,-4.047079
A' Chioch,57.18987,-5.131051
Sgorr Bhan,56.656002,-5.16217
Creag a' Mhaim,57.120971,-5.160048
Sgurr na Sgine,57.147088,-5.396699
Meall Buidhe,57.031543,-5.546333
Corrag Bhuidhe Buttress,57.795503,-5.254544
An Cabar,57.662341,-4.599082
